DATE,HQMCB1YR
2000-01-01,6.80
2000-02-01,6.97
2000-03-01,7.04
2000-04-01,7.10
2000-05-01,7.46
2000-06-01,7.24
2000-07-01,7.17
2000-08-01,7.09
2000-09-01,6.99
2000-10-01,6.91
2000-11-01,6.92
2000-12-01,6.59
2001-01-01,5.80
2001-02-01,5.57
2001-03-01,5.23
2001-04-01,4.98
2001-05-01,4.72
2001-06-01,4.49
2001-07-01,4.42
2001-08-01,4.11
2001-09-01,3.63
2001-10-01,3.15
2001-11-01,2.94
2001-12-01,2.94
2002-01-01,2.81
2002-02-01,3.04
2002-03-01,3.34
2002-04-01,3.24
2002-05-01,3.19
2002-06-01,2.89
2002-07-01,2.72
2002-08-01,2.59
2002-09-01,2.54
2002-10-01,2.57
2002-11-01,2.35
2002-12-01,2.20
2003-01-01,2.05
2003-02-01,1.83
2003-03-01,1.71
2003-04-01,1.70
2003-05-01,1.56
2003-06-01,1.39
2003-07-01,1.47
2003-08-01,1.68
2003-09-01,1.56
2003-10-01,1.60
2003-11-01,1.70
2003-12-01,1.65
2004-01-01,1.53
2004-02-01,1.56
2004-03-01,1.48
2004-04-01,1.77
2004-05-01,2.13
2004-06-01,2.42
2004-07-01,2.40
2004-08-01,2.37
2004-09-01,2.45
2004-10-01,2.56
2004-11-01,2.86
2004-12-01,3.03
2005-01-01,3.24
2005-02-01,3.41
2005-03-01,3.69
2005-04-01,3.77
2005-05-01,3.86
2005-06-01,3.90
2005-07-01,4.11
2005-08-01,4.29
2005-09-01,4.25
2005-10-01,4.59
2005-11-01,4.80
2005-12-01,4.85
2006-01-01,4.91
2006-02-01,5.13
2006-03-01,5.19
2006-04-01,5.33
2006-05-01,5.42
2006-06-01,5.63
2006-07-01,5.66
2006-08-01,5.50
2006-09-01,5.39
2006-10-01,5.39
2006-11-01,5.35
2006-12-01,5.28
2007-01-01,5.41
2007-02-01,5.40
2007-03-01,5.25
2007-04-01,5.31
2007-05-01,5.37
2007-06-01,5.47
2007-07-01,5.45
2007-08-01,5.37
2007-09-01,5.21
2007-10-01,5.09
2007-11-01,4.86
2007-12-01,4.81
2008-01-01,4.06
2008-02-01,3.51
2008-03-01,3.59
2008-04-01,3.84
2008-05-01,3.79
2008-06-01,4.03
2008-07-01,4.16
2008-08-01,4.27
2008-09-01,4.90
2008-10-01,6.19
2008-11-01,5.93
2008-12-01,6.10
2009-01-01,4.38
2009-02-01,4.37
2009-03-01,4.77
2009-04-01,4.03
2009-05-01,3.08
2009-06-01,2.59
2009-07-01,2.20
2009-08-01,1.91
2009-09-01,1.60
2009-10-01,1.45
2009-11-01,1.20
2009-12-01,1.15
2010-01-01,1.07
2010-02-01,1.06
2010-03-01,1.07
2010-04-01,1.10
2010-05-01,1.31
2010-06-01,1.35
2010-07-01,1.13
2010-08-01,0.98
2010-09-01,0.88
2010-10-01,0.78
2010-11-01,0.80
2010-12-01,0.85
2011-01-01,0.81
2011-02-01,0.81
2011-03-01,0.76
2011-04-01,0.75
2011-05-01,0.67
2011-06-01,0.71
2011-07-01,0.74
2011-08-01,0.89
2011-09-01,0.99
2011-10-01,1.01
2011-11-01,1.01
2011-12-01,1.10
2012-01-01,0.94
2012-02-01,0.79
2012-03-01,0.79
2012-04-01,0.78
2012-05-01,0.85
2012-06-01,0.87
2012-07-01,0.67
2012-08-01,0.60
2012-09-01,0.54
2012-10-01,0.51
2012-11-01,0.52
2012-12-01,0.53
2013-01-01,0.52
2013-02-01,0.48
2013-03-01,0.47
2013-04-01,0.46
2013-05-01,0.45
2013-06-01,0.53
2013-07-01,0.55
2013-08-01,0.52
2013-09-01,0.53
2013-10-01,0.49
2013-11-01,0.45
2013-12-01,0.44
2014-01-01,0.43
2014-02-01,0.40
2014-03-01,0.43
2014-04-01,0.41
2014-05-01,0.37
2014-06-01,0.41
2014-07-01,0.43
2014-08-01,0.42
2014-09-01,0.52
2014-10-01,0.49
2014-11-01,0.56
2014-12-01,0.65
2015-01-01,0.61
2015-02-01,0.62
2015-03-01,0.63
2015-04-01,0.58
2015-05-01,0.62
2015-06-01,0.76
2015-07-01,0.80
2015-08-01,0.87
2015-09-01,0.90
2015-10-01,0.85
2015-11-01,0.94
2015-12-01,1.09
2016-01-01,1.11
2016-02-01,1.09
2016-03-01,1.08
2016-04-01,0.95
2016-05-01,0.98
2016-06-01,0.98
2016-07-01,0.96
2016-08-01,1.00
2016-09-01,1.09
2016-10-01,1.16
2016-11-01,1.24
2016-12-01,1.41
2017-01-01,1.41
2017-02-01,1.37
2017-03-01,1.47
2017-04-01,1.47
2017-05-01,1.49
2017-06-01,1.56
2017-07-01,1.56
2017-08-01,1.56
2017-09-01,1.59
2017-10-01,1.66
2017-11-01,1.83
2017-12-01,1.98
2018-01-01,2.12
2018-02-01,2.31
2018-03-01,2.53
2018-04-01,2.60
2018-05-01,2.63
2018-06-01,2.72
2018-07-01,2.76
2018-08-01,2.74
2018-09-01,2.83
2018-10-01,2.95
2018-11-01,3.08
2018-12-01,3.12
2019-01-01,2.97
2019-02-01,2.84
2019-03-01,2.74
2019-04-01,2.7
2019-05-01,2.63
2019-06-01,2.37
2019-07-01,2.3
2019-08-01,2.09
2019-09-01,2.08
2019-10-01,1.93
2019-11-01,1.91
2019-12-01,1.91
