DATE,ICERATES1100USD10Y
2015-01-02,2.229
2015-01-05,2.165
2015-01-06,2.078
2015-01-07,2.09
2015-01-08,2.133
2015-01-09,2.095
2015-01-12,2.059
2015-01-13,2.05
2015-01-14,1.939
2015-01-15,1.922
2015-01-16,1.935
2015-01-19,.
2015-01-20,1.884
2015-01-21,1.935
2015-01-22,2.008
2015-01-23,1.951
2015-01-26,1.985
2015-01-27,1.904
2015-01-28,1.931
2015-01-29,1.899
2015-01-30,1.815
2015-02-02,1.827
2015-02-03,1.873
2015-02-04,1.957
2015-02-05,1.95
2015-02-06,2.072
2015-02-09,2.056
2015-02-10,2.118
2015-02-11,2.146
2015-02-12,2.111
2015-02-13,2.138
2015-02-16,.
2015-02-17,2.209
2015-02-18,2.243
2015-02-19,2.198
2015-02-20,2.204
2015-02-23,2.21
2015-02-24,2.177
2015-02-25,2.102
2015-02-26,2.118
2015-02-27,2.138
2015-03-02,2.182
2015-03-03,2.225
2015-03-04,2.243
2015-03-05,2.253
2015-03-06,2.349
2015-03-09,2.308
2015-03-10,2.247
2015-03-11,2.24
2015-03-12,2.19
2015-03-13,2.212
2015-03-16,2.193
2015-03-17,2.165
2015-03-18,2.131
2015-03-19,2.023
2015-03-20,2.03
2015-03-23,2.02
2015-03-24,2.002
2015-03-25,1.976
2015-03-26,2.072
2015-03-27,2.06
2015-03-30,2.049
2015-03-31,2.032
2015-04-01,1.98
2015-04-02,2.005
2015-04-03,.
2015-04-06,.
2015-04-07,2.028
2015-04-08,2.003
2015-04-09,2.013
2015-04-10,2.035
2015-04-13,2.037
2015-04-14,1.943
2015-04-15,1.966
2015-04-16,2.005
2015-04-17,1.985
2015-04-20,1.964
2015-04-21,1.979
2015-04-22,2.033
2015-04-23,2.031
2015-04-24,1.986
2015-04-27,2.022
2015-04-28,2.029
2015-04-29,2.136
2015-04-30,2.188
2015-05-01,2.189
2015-05-04,2.195
2015-05-05,2.267
2015-05-06,2.311
2015-05-07,2.286
2015-05-08,2.199
2015-05-11,2.28
2015-05-12,2.336
2015-05-13,2.301
2015-05-14,2.288
2015-05-15,2.224
2015-05-18,2.28
2015-05-19,2.318
2015-05-20,2.304
2015-05-21,2.275
2015-05-22,2.269
2015-05-25,.
2015-05-26,2.245
2015-05-27,2.242
2015-05-28,2.226
2015-05-29,2.195
2015-06-01,2.233
2015-06-02,2.323
2015-06-03,2.408
2015-06-04,2.402
2015-06-05,2.482
2015-06-08,2.461
2015-06-09,2.52
2015-06-10,2.553
2015-06-11,2.514
2015-06-12,2.43
2015-06-15,2.436
2015-06-16,2.435
2015-06-17,2.454
2015-06-18,2.424
2015-06-19,2.356
2015-06-22,2.428
2015-06-23,2.468
2015-06-24,2.491
2015-06-25,2.51
2015-06-26,2.554
2015-06-29,2.474
2015-06-30,2.458
2015-07-01,2.51
2015-07-02,2.492
2015-07-03,.
2015-07-06,2.452
2015-07-07,2.325
2015-07-08,2.368
2015-07-09,2.388
2015-07-10,2.471
2015-07-13,2.522
2015-07-14,2.495
2015-07-15,2.48
2015-07-16,2.439
2015-07-17,2.437
2015-07-20,2.448
2015-07-21,2.447
2015-07-22,2.389
2015-07-23,2.418
2015-07-24,2.353
2015-07-27,2.314
2015-07-28,2.337
2015-07-29,2.37
2015-07-30,2.36
2015-07-31,2.281
2015-08-03,2.263
2015-08-04,2.262
2015-08-05,2.363
2015-08-06,2.32
2015-08-07,2.283
2015-08-10,2.297
2015-08-11,2.229
2015-08-12,2.167
2015-08-13,2.246
2015-08-14,2.274
2015-08-17,2.235
2015-08-18,2.253
2015-08-19,2.261
2015-08-20,2.175
2015-08-21,2.146
2015-08-24,2.069
2015-08-25,2.154
2015-08-26,2.179
2015-08-27,2.241
2015-08-28,2.209
2015-08-31,2.218
2015-09-01,2.221
2015-09-02,2.229
2015-09-03,2.245
2015-09-04,2.191
2015-09-07,.
2015-09-08,2.217
2015-09-09,2.245
2015-09-10,2.227
2015-09-11,2.199
2015-09-14,2.203
2015-09-15,2.259
2015-09-16,2.284
2015-09-17,2.292
2015-09-18,2.193
2015-09-21,2.199
2015-09-22,2.14
